Date,Price,Open,High,Low,Change_%,DayOfWeek
2000-08-24,272.95,270.25,272.95,272.95,0.63,Thursday
2000-08-25,274.25,272.95,274.25,274.25,0.48,Friday
2000-08-28,274.1,274.15,274.1,274.1,-0.05,Monday
2000-08-29,273.45,273.85,273.45,273.45,-0.24,Tuesday
2000-08-30,274.25,273.25,274.25,274.25,0.29,Wednesday
2000-08-31,277.75,274.15,277.75,277.75,1.28,Thursday
2000-09-01,276.85,277.9,276.85,276.85,-0.32,Friday
2000-09-04,277.0,276.95,277.0,277.0,0.05,Monday
2000-09-05,275.55,276.95,275.55,275.55,-0.52,Tuesday
2000-09-06,274.45,275.7,274.45,274.45,-0.4,Wednesday
2000-09-07,273.8,274.55,273.8,273.8,-0.24,Thursday
2000-09-08,273.05,273.85,273.05,273.05,-0.27,Friday
2000-09-11,273.45,272.95,273.45,273.45,0.15,Monday
2000-09-12,273.05,273.2,273.05,273.05,-0.15,Tuesday
2000-09-13,272.8,274.05,272.8,272.8,-0.09,Wednesday
2000-09-14,272.45,272.35,272.45,272.45,-0.13,Thursday
2000-09-15,272.55,272.75,272.55,272.55,0.04,Friday
2000-09-18,271.8,272.55,271.8,271.8,-0.28,Monday
2000-09-19,272.25,272.0,272.25,272.25,0.17,Tuesday
2000-09-20,269.45,272.15,269.45,269.45,-1.03,Wednesday
2000-09-21,270.75,269.55,270.75,270.75,0.48,Thursday
2000-09-22,272.15,271.05,272.15,272.15,0.52,Friday
2000-09-25,274.3,272.05,274.3,274.3,0.79,Monday
2000-09-26,274.35,274.55,274.35,274.35,0.02,Tuesday
2000-09-27,278.6,274.45,278.6,278.6,1.55,Wednesday
2000-09-28,275.55,278.5,275.55,275.55,-1.09,Thursday
2000-09-29,274.25,275.25,274.25,274.25,-0.47,Friday
2000-10-02,273.4,274.25,273.4,273.4,-0.31,Monday
2000-10-03,272.25,273.35,272.25,272.25,-0.42,Tuesday
2000-10-04,270.75,272.0,270.75,270.75,-0.55,Wednesday
2000-10-05,270.35,270.85,270.35,270.35,-0.15,Thursday
2000-10-06,269.65,269.75,269.65,269.65,-0.26,Friday
2000-10-09,270.6,269.95,270.6,270.6,0.35,Monday
